doctor_name,Speciality,Availability,Ratings,Location
Dr. Sneha Sharma,Reproductive Endocrinologist,"Tuesday, Thursday",4.9,Chennai
Dr. Rohan Khanna,Physical Therapist,"Wednesday, Friday",3.1,Hyderabad
Dr. Tanvi Gupta,Physical Therapist,"Monday,Tuesday",4.6,Pune
Dr. Aman Singh,Orthopedic Surgeon,"Tuesday, Wednesday",3.7,Ahmedabad
Dr. Neha Khurana,Orthopedic Surgeon,"Monday,Tuesday",3.4,Surat
Dr. Karan Mehra,Psychotherapist,"Tuesday, Wednesday",3,Jaipur
Dr. Pooja Verma,Retina Specialist (Medical),"Wednesday, Thursday",3.3,Amritsar
Dr. Vikram Sharma,Travel Medicine Specialist,"Friday, Tuesday",4.3,Navi Mumbai
Dr. Riya Singh,Orthopedic Surgeon,"Thursday, Friday",3.4,Allahabad
Dr. Aditya Khanna,Prosthodontist,"Tuesday, Thursday",3.7,Ranchi
Dr. Nandini Verma,Orthopedic Surgeon,"Monday, Wednesday",4,Howrah
Dr. Arjun Choudhary,Optometrist,"Tuesday, Thursday",3.1,Jabalpur
Dr. Swati Khurana,Pediatric Cardiologist,"Wednesday, Friday",4.4,Gwalior
Dr. Ankit Mehra,Reproductive Endocrinologist,"Monday,Tuesday",3.3,Vijayawada
Dr. Priya Verma,Psychotherapist,"Tuesday, Wednesday",4.9,Jodhpur
Dr. Rohit Kumar,Pediatric Nurse Practitioner,"Wednesday, Thursday",3.3,Raipur
Dr. Meera Khanna,Psychotherapist,"Thursday, Friday",4.8,Kota
Dr. Sahil Verma,Emergency Medicine Physician,"Wednesday, Friday",3.6,Guwahati
Dr. Sneha Singh,Foot & Ankle Specialist,"Monday,Tuesday",3.3,Chandigarh
Dr. Anuj Sharma,Urological Surgeon,"Tuesday, Wednesday",3.8,Solapur
Dr. Ritu Khanna,Emergency Medicine Physician,"Wednesday, Thursday",4.2,Hubballi-Dharwad
Dr. Aarti Singh,Orthopedic Surgeon,"Friday, Tuesday",3.9,Bareilly
Dr. Vivek Khurana,Psychotherapist,"Thursday, Friday",3.8,Moradabad
Dr. Kavita Sharma,Oncologist,"Tuesday, Thursday",4.9,Mysore
Dr. Rahul Mehta,Physical Therapist,"Wednesday, Friday",3.1,Gurgaon
Dr. Nisha Choudhary,Nuclear Medicine Specialist,"Monday,Tuesday",4.9,Aligarh
Dr. Karan Kapoor,Infectious Disease Specialist,"Tuesday, Wednesday",4.5,Jalandhar
Dr. Priya Sharma,Emergency Medicine Physician,"Monday, Wednesday",3.6,Tiruchirappalli
Dr. Rohit Patel,Pediatric / Strabismus Eye Doctor,"Tuesday, Thursday",3.3,Bhubaneswar
Dr. Sneha Verma,Psychotherapist,"Monday,Tuesday",4.7,Salem
Dr. Vikram Singhania,Geriatrician,"Monday,Tuesday",3.6,Jamnagar
Dr. Anjali Reddy,Psychotherapist,"Tuesday, Wednesday",4.1,Ujjain
Dr. Arjun Gupta,Neuro-Otologist,"Wednesday, Thursday",3.6,Siliguri
Dr. Preeti Khanna,Psychotherapist,"Friday, Tuesday",3.3,Jhansi
Dr. Rajesh Sharma,Emergency Medicine Physician,"Monday,Tuesday",3.2,Durg-Bhilai Nagar
Dr. Neha Desai,Adult Psychiatric & Mental Health Nurse Practitioner,"Tuesday, Wednesday",3,Tirupur
Dr. Siddharth Patel,Prosthodontist,"Monday, Thursday",3.5,Guntur
Dr. Aarti Gupta,Orthopedic Surgeon,"Tuesday, Thursday",3.3,Gorakhpur
Dr. Aniket Malhotra,Geriatrician,"Friday, Tuesday",4.1,Saharanpur
Dr. Shreya Joshi,Foot & Ankle Specialist,"Thursday, Friday",3.3,Bhatpara
Dr. Aditya Singh,Optometrist,"Wednesday, Friday",4.5,Bhilwara
Dr. Tanvi Mehra,Prosthodontist,"Monday,Tuesday",4.6,Kakinada
Dr. Rohan Bansal,Prosthodontist,"Tuesday, Wednesday",4.5,Davanagere
Dr. Meera Chawla,Geriatrician,"Wednesday, Thursday",5,Kozhikode
Dr. Vivek Khanna,Psychotherapist,"Tuesday, Wednesday",4,Maheshtala
Dr. Ritu Kapoor,Optometrist,"Wednesday, Thursday",3.3,Rajpur Sonarpur
Dr. Akash Verma,Psychotherapist,"Monday, Wednesday",3.3,Rajahmundry
Dr. Nandini Sharma,Gynecologist,"Tuesday, Thursday",5,Bokaro Steel City
Dr. Anuj Mehra,Orthopedic Surgeon,"Monday, Thursday",3.1,South Dumdum
Dr. Kritika Choudhary,Orthopedic Surgeon,"Tuesday, Thursday",4.3,Bellary
Dr. Mohan Kumar,Oncologist,"Monday, Friday",3.2,Patiala
Dr. Anushka Singh,Neurosurgeon,"Monday, Wednesday",4,Gopalpur
Dr. Sameer Khurana,Emergency Medicine Physician,"Tuesday, Thursday",3.9,Bangalore
Dr. Riya Gupta,Pediatric / Strabismus Eye Doctor,"Wednesday, Friday",4.3,Kolkata
Dr. Vikrant Mehra,Vascular Surgeon,"Monday,Tuesday",3.7,Chennai
Dr. Sneha Kumar,Neuro-Ophthalmologist,"Tuesday, Wednesday",4.1,Hyderabad
Dr. Arjun Khanna,Emergency Medicine Physician,"Wednesday, Friday",3.1,Pune
Dr. Natasha Chatterjee,Oncologist,"Monday,Tuesday",3.4,Ahmedabad
Dr. Ravi Sharma,Pediatric Sports Medicine Specialist,"Tuesday, Wednesday",3.3,Surat
Dr. Aditi Patel,Adult Psychiatric & Mental Health Nurse Practitioner,"Wednesday, Thursday",4.3,Jaipur
Dr. Deepak Singh,Physical Therapist,"Monday, Thursday",3.1,Lucknow
Dr. Shruti Mehra,Psychotherapist,"Tuesday, Thursday",3.7,Kanpur
Dr. Karan Chawla,Optometrist,"Friday, Tuesday",3.6,Nagpur
Dr. Naina Patel,Gynecologist,"Thursday, Friday",3.3,Visakhapatnam
Dr. Rajat Kapoor,Sports Medicine Specialist,"Tuesday, Thursday",4.2,Indore
Dr. Ishita Singh,Prosthodontist,"Wednesday, Friday",4.8,Nagpur
Dr. Akshay Gupta,Geriatrician,"Monday,Tuesday",3.8,Visakhapatnam
Dr. Ayesha Reddy,Physical Therapist,"Tuesday, Wednesday",3.4,Indore
Dr. Rohit Verma,Emergency Medicine Physician,"Monday, Wednesday",4.1,Thane
Dr. Swati Bansal,Oncologist,"Tuesday, Thursday",4.4,Bhopal
Dr. Vikas Singh,Neurosurgeon,"Monday, Thursday",4.1,Ujjain
Dr. Anjali Malhotra,Adult Psychiatric & Mental Health Nurse Practitioner,"Tuesday, Thursday",4.5,Siliguri
Dr. Abhishek Kumar,Gynecologist,"Friday, Tuesday",4.4,Jhansi
Dr. Priya Khanna,Oncologist,"Thursday, Friday",3.2,Durg-Bhilai Nagar
Dr. Surya Gupta,Emergency Medicine Physician,"Wednesday, Friday",3.3,Tirupur
Dr. Ritu Patel,Foot & Ankle Specialist,"Monday,Tuesday",3,Guntur
Dr. Aniket Singh,Psychotherapist,"Tuesday, Wednesday",4.7,Gorakhpur
Dr. Neha Kapoor,Prosthodontist,"Wednesday, Thursday",3.4,Saharanpur
Dr. Rohan Sharma,Orthopedic Surgeon,"Friday, Tuesday",3.3,Bhatpara
Dr. Tanvi Joshi,Oncologist,"Thursday, Friday",4.4,Bhilwara
Dr. Aditya Verma,Psychotherapist,"Tuesday, Thursday",4.3,Kakinada
Dr. Pooja Khurana,Oncologist,"Wednesday, Friday",3.3,Davanagere
Dr. Ankit Gupta,Oncologist,"Monday,Tuesday",5,Varanasi
Dr. Shweta Singh,Physical Therapist,"Tuesday, Wednesday",4.9,Bhubaneswar
Dr. Abhinav Sharma,Emergency Medicine Physician,"Monday,Tuesday",4,Jabalpur
Dr. Natasha Mehra,Neuro-Otologist,"Tuesday, Wednesday",3.3,Jodhpur
Dr. Yash Singh,Psychotherapist,"Wednesday, Thursday",4.3,Mumbai
Dr. Nisha Verma,Orthopedic Surgeon,"Friday, Tuesday",3.9,Delhi
Dr. Arvind Khanna,Reproductive Endocrinologist,"Monday,Tuesday",4.2,Bangalore
Dr. Priyanka Singh,Physical Therapist,"Tuesday, Wednesday",4.9,Kolkata
Dr. Rohit Choudhary,Psychotherapist,"Monday, Thursday",3.6,Chennai
Dr. Kritika Khanna,Geriatrician,"Tuesday, Thursday",4.6,Hyderabad
Dr. Mohit Sharma,Pediatric / Strabismus Eye Doctor,"Friday, Tuesday",3.1,Pune
Dr. Anjali Bansal,Emergency Medicine Physician,"Thursday, Friday",3.5,Vadodara
Dr. Ravi Verma,Orthopedic Surgeon,"Tuesday, Thursday",4.8,Ghaziabad
Dr. Ananya Khurana,Physical Therapist,"Monday, Thursday",3.8,Ludhiana
Dr. Sameer Verma,Neuro-Ophthalmologist,"Tuesday, Thursday",4,Agra
Dr. Shivani Gupta,Physical Therapist,"Friday, Tuesday",3.1,Nashik
Dr. Akash Choudhary,Optometrist,"Thursday, Friday",5,Faridabad
Dr. Anushka Mehra,Optometrist,"Wednesday, Friday",3.6,Meerut
Dr. Rahul Kapoor,Oncologist,"Monday,Tuesday",4.9,Mumbai
Dr. Sneha Sharma,Adult Psychiatric & Mental Health Nurse Practitioner,"Tuesday, Wednesday",3.1,Delhi
Dr. Rohan Khanna,Nutritionist,"Wednesday, Thursday",3.6,Bangalore
Dr. Tanvi Gupta,Oncologist,"Friday, Tuesday",4.3,Kolkata
Dr. Aman Singh,Emergency Medicine Physician,"Monday,Tuesday",4.8,Gopalpur
Dr. Neha Khurana,Emergency Medicine Physician,"Tuesday, Wednesday",3.8,Agartala
Dr. Karan Mehra,Geriatrician,"Tuesday, Wednesday",4.6,Muzaffarnagar
Dr. Pooja Verma,Psychotherapist,"Monday, Wednesday",4.4,Latur
Dr. Vikram Sharma,Emergency Medicine Physician,"Tuesday, Thursday",5,Hyderabad
Dr. Riya Singh,Retina Specialist (Medical),"Tuesday, Thursday",4.2,Pune
Dr. Aditya Khanna,Physical Therapist,"Friday, Tuesday",4.3,Ahmedabad
Dr. Nandini Verma,Psychotherapist,"Thursday, Friday",3.1,Jaipur
Dr. Arjun Choudhary,Oncologist,"Tuesday, Thursday",3.4,Surat
Dr. Swati Khurana,Reproductive Endocrinologist,"Wednesday, Friday",3.2,Lucknow
Dr. Ankit Mehra,Geriatrician,"Monday,Tuesday",3.3,Kanpur
Dr. Priya Verma,Infectious Disease Specialist,"Tuesday, Wednesday",4.3,Ahmedabad
Dr. Rohit Kumar,Psychotherapist,"Monday,Tuesday",4.1,Surat
Dr. Meera Khanna,Urological Surgeon,"Tuesday, Wednesday",3,Jaipur
Dr. Sahil Verma,Gynecologist,"Wednesday, Thursday",4.7,Lucknow
Dr. Sneha Singh,Neuro-Ophthalmologist,"Friday, Tuesday",3.4,Patna
Dr. Anuj Sharma,Adult Psychiatric & Mental Health Nurse Practitioner,"Thursday, Friday",3.9,Vadodara
Dr. Ritu Khanna,Psychotherapist,"Tuesday, Thursday",4.5,Ghaziabad
Dr. Aarti Singh,Pediatric / Strabismus Eye Doctor,"Monday, Wednesday",3.7,Ludhiana
Dr. Vivek Khurana,Retina Specialist (Medical),"Tuesday, Thursday",4.1,Agra
Dr. Kavita Sharma,Emergency Medicine Physician,"Wednesday, Friday",3.2,Nashik
Dr. Arvind Khatri,Geriatrician,"Wednesday, Friday",3.7,Faridabad
Dr. Priyanka Das,Psychotherapist,"Monday,Tuesday",3,Meerut
Dr. Rohan Joshi,Oncologist,"Tuesday, Wednesday",5,Mumbai
Dr. Neha Bhatia,Emergency Medicine Physician,"Wednesday, Thursday",3.5,Ambala
Dr. Karthik Menon,Psychotherapist,"Monday, Thursday",4,Maheshtala
Dr. Ananya Iyer,Pediatric / Strabismus Eye Doctor,"Tuesday, Thursday",3.1,Rajpur Sonarpur
Dr. Vikram Shah,Geriatrician,"Friday, Tuesday",3.1,Rajahmundry
Dr. Sneha Rao,Neuro-Otologist,"Thursday, Friday",4.7,Bokaro Steel City
Dr. Rahul Varma,Nuclear Medicine Specialist,"Tuesday, Thursday",4.2,South Dumdum
Dr. Nisha Krishnan,Emergency Medicine Physician,"Wednesday, Friday",4.2,Bellary
Dr. Aditya Dubey,Physical Therapist,"Monday,Tuesday",4.6,Patiala
Dr. Shreya Sharma,Oncologist,"Tuesday, Wednesday",4.4,Gopalpur
Dr. Akash Pillai,Oncologist,"Monday, Wednesday",3.7,Bangalore
Dr. Pooja Singhania,Emergency Medicine Physician,"Tuesday, Thursday",3.8,Visakhapatnam
Dr. Rohit Verma,Neuro-Ophthalmologist,"Monday, Thursday",4.7,Indore
Dr. Anjali Nair,Physical Therapist,"Tuesday, Thursday",4.5,Thane
Dr. Arjun Kapoor,Oncologist,"Friday, Tuesday",3.9,Bhopal
Dr. Tanvi Mehta,Foot & Ankle Specialist,"Thursday, Friday",3.3,Ujjain
Dr. Rajesh Rao,Geriatrician,"Wednesday, Friday",3.8,Siliguri
Dr. Nandini Reddy,Psychotherapist,"Monday,Tuesday",3.1,Jhansi
Dr. Aman Mathur,Adult Psychiatric & Mental Health Nurse Practitioner,"Tuesday, Wednesday",4.6,Durg-Bhilai Nagar
Dr. Swati Sinha,Reproductive Endocrinologist,"Wednesday, Thursday",4.7,Tirupur
Dr. Vikrant Malhotra,Physical Therapist,"Friday, Tuesday",4.7,Guntur
Dr. Riya Mehra,Prosthodontist,"Thursday, Friday",5,Gorakhpur
Dr. Ankit Desai,Oncologist,"Tuesday, Thursday",3.4,Saharanpur
Dr. Kritika Rao,Oncologist,"Wednesday, Friday",4.9,Bhatpara
Dr. Mohit Sharma,Nuclear Medicine Specialist,"Monday,Tuesday",4.4,Bhilwara
Dr. Anjali Patel,Psychotherapist,"Tuesday, Wednesday",4.3,Kakinada
Dr. Sameer Rastogi,Orthopedic Surgeon,"Monday, Wednesday",4.3,Davanagere
Dr. Ritu Singh,Urological Surgeon,"Tuesday, Thursday",3.6,Kozhikode
Dr. Abhishek Gupta,Emergency Medicine Physician,"Tuesday, Wednesday",4.5,Maheshtala
Dr. Natasha Kapoor,Orthopedic Surgeon,"Wednesday, Thursday",4.1,Varanasi
Dr. Rohan Chawla,Gynecologist,"Friday, Tuesday",4.2,Bhubaneswar
Dr. Sneha Sharma,Psychotherapist,"Thursday, Friday",3.7,Jabalpur
Dr. Arjun Verma,Oncologist,"Tuesday, Thursday",4.7,Jodhpur
Dr. Priya Mehra,Oncologist,"Wednesday, Friday",3.6,Mumbai
Dr. Vivek Sharma,Neuro-Ophthalmologist,"Monday,Tuesday",3.3,Delhi
Dr. Shweta Gupta,Oncologist,"Tuesday, Wednesday",3,Bangalore
Dr. Aditya Jain,Urological Surgeon,"Monday, Wednesday",4.7,Kolkata
Dr. Neha Chopra,Neuro-Ophthalmologist,"Tuesday, Thursday",4.7,Chennai
Dr. Karan Thakur,Psychotherapist,"Monday, Thursday",5,Hyderabad
Dr. Pooja Kapoor,Emergency Medicine Physician,"Tuesday, Thursday",3.7,Pune
Dr. Vikas Singh,Emergency Medicine Physician,"Monday, Friday",3.1,Ahmedabad
Dr. Ananya Rao,Reproductive Endocrinologist,"Monday, Wednesday",3.6,Lucknow
Dr. Rohit Patel,Psychotherapist,"Tuesday, Thursday",3.6,Durg-Bhilai Nagar
Dr. Tanvi Mehra,Emergency Medicine Physician,"Wednesday, Friday",3,Tirupur
Dr. Aryan Gupta,Emergency Medicine Physician,"Monday,Tuesday",3.5,Guntur
Dr. Nisha Sharma,Psychotherapist,"Friday, Tuesday",4.4,Gorakhpur
Dr. Ankit Malhotra,Geriatrician,"Thursday, Friday",4.9,Saharanpur
Dr. Priyanka Singh,Emergency Medicine Physician,"Tuesday, Thursday",4.3,Bhatpara
Dr. Sahil Reddy,Emergency Medicine Physician,"Wednesday, Friday",4.2,Bhilwara
Dr. Ritu Khanna,Prosthodontist,"Monday,Tuesday",3.3,Kakinada
Dr. Akash Singh,Physical Therapist,"Tuesday, Wednesday",4.6,Davanagere
Dr. Meera Patel,Neuro-Ophthalmologist,"Monday,Tuesday",5,Varanasi
Dr. Rahul Verma,Gynecologist,"Tuesday, Wednesday",3.7,Bhubaneswar
Dr. Swati Sharma,Physical Therapist,"Wednesday, Thursday",3.4,Jabalpur
Dr. Arjun Khatri,Geriatrician,"Friday, Tuesday",4.8,Jodhpur
Dr. Sneha Kapoor,Psychotherapist,"Thursday, Friday",4,Mumbai
Dr. Rohan Kumar,Oncologist,"Tuesday, Thursday",4.3,Delhi
Dr. Neha Desai,Physical Therapist,"Monday, Wednesday",3.9,Bangalore
Dr. Karthik Iyer,Physical Therapist,"Monday, Friday",4.7,Kolkata
Dr. Preeti Sharma,Sports Medicine Specialist,"Monday, Wednesday",3,Pune
Dr. Vikram Reddy,Emergency Medicine Physician,"Tuesday, Thursday",4.3,Ahmedabad
Dr. Anjali Nair,Pediatric / Strabismus Eye Doctor,"Wednesday, Friday",5,Jaipur
Dr. Aditya Bhatia,Psychotherapist,"Monday,Tuesday",4.1,Chandigarh
Dr. Tanvi Patel,Psychotherapist,"Tuesday, Wednesday",4.7,Gurgaon
Dr. Rajesh Menon,Oncologist,"Tuesday, Thursday",4.1,Noida
Dr. Nandini Rao,Emergency Medicine Physician,"Wednesday, Friday",3.6,Kochi
Dr. Aman Sharma,Physical Therapist,"Monday,Tuesday",4.9,Lucknow
Dr. Shreya Sinha,Psychotherapist,"Tuesday, Wednesday",3.3,Indore
Dr. Abhishek Malhotra,Oncologist,"Tuesday, Thursday",3.2,Bhopal
Dr. Natasha Mehra,Oncologist,"Monday, Thursday",4.6,Coimbatore
Dr. Rohit Chauhan,Physical Therapist,"Tuesday, Thursday",4.8,Thiruvananthapuram
Dr. Ananya Gupta,Psychotherapist,"Friday, Tuesday",3.1,Nagpur
Dr. Priya Verma,Neuro-Otologist,"Thursday, Friday",3.9,Vadodara
Dr. Vivek Kapoor,Neuro-Otologist,"Wednesday, Friday",4.8,Agartala
Dr. Shweta Singh,Geriatrician,"Monday,Tuesday",5,Aizawl
Dr. Akash Khatri,Oncologist,"Tuesday, Wednesday",4.8,Imphal
Dr. Ritu Kumar,Oncologist,"Wednesday, Thursday",4.1,Shillong
Dr. Arjun Sharma,Oncologist,"Friday, Tuesday",3.6,Kohima
Dr. Sneha Khanna,Emergency Medicine Physician,"Monday,Tuesday",4.4,Dimapur
Dr. Rohan Gupta,Oncologist,"Wednesday, Friday",4.8,Gangtok
Dr. Neha Mehra,Emergency Medicine Physician,"Monday,Tuesday",4.4,Itanagar
Dr. Karan Singhania,Physical Therapist,"Monday,Tuesday",3.3,Port Blair
Dr. Pooja Desai,Oncologist,"Tuesday, Wednesday",3.7,Leh
Dr. Vikas Verma,Oncologist,"Wednesday, Thursday",4.8,Tirupur
Dr. Anjali Joshi,Pediatric / Strabismus Eye Doctor,"Friday, Tuesday",4.7,Guntur
Dr. Aditya Rao,Oncologist,"Monday,Tuesday",4.8,Gorakhpur
Dr. Tanvi Mehra,Emergency Medicine Physician,"Tuesday, Wednesday",3.8,Saharanpur
Dr. Rahul Kapoor,Orthopedic Surgeon,"Monday, Thursday",4.7,Bhatpara
Dr. Nisha Sinha,Psychotherapist,"Tuesday, Thursday",4.2,Bhilwara
Dr. Ankit Gupta,Neuro-Ophthalmologist,"Friday, Tuesday",3.1,Kakinada
Dr. Sahil Malhotra,Gynecologist,"Thursday, Friday",3.4,Davanagere
Dr. Riya Khanna,Emergency Medicine Physician,"Monday,Tuesday",4.3,Kozhikode
Dr. Arvind Sharma,Pediatric / Strabismus Eye Doctor,"Tuesday, Wednesday",4.6,Maheshtala
Dr. Swati Patel,Oncologist,"Monday, Wednesday",5,Varanasi
Dr. Akash Reddy,Psychotherapist,"Tuesday, Thursday",3.1,Bhubaneswar
Dr. Meera Singh,Oncologist,"Monday, Thursday",4.9,Jabalpur
Dr. Rohit Varma,Emergency Medicine Physician,"Tuesday, Thursday",3.7,Jodhpur
Dr. Neha Khatri,Oncologist,"Monday, Friday",4.1,Kanpur
Dr. Karthik Gupta,Oncologist,"Monday, Wednesday",4.8,Nagpur
Dr. Preeti Sharma,Emergency Medicine Physician,"Tuesday, Thursday",4.9,Visakhapatnam
Dr. Vikram Kapoor,Geriatrician,"Wednesday, Friday",4.4,Indore
Dr. Siddharth Rao,Pediatric / Strabismus Eye Doctor,"Monday,Tuesday",3.4,Nagpur
Dr. Kavita Sharma,Oncologist,"Tuesday, Wednesday",3.2,Visakhapatnam
Dr. Arjun Menon,Gynecologist,"Tuesday, Wednesday",4.6,Indore
Dr. Nandini Iyer,Psychotherapist,"Wednesday, Thursday",5,Thane
Dr. KrittikaAggarwal,Emergency Medicine Physician,"Monday, Thursday",3.8,Bhopal
Dr. Ramanuj Bansal,Psychotherapist,"Tuesday, Thursday",3.9,Ujjain
Dr. AshishGopal,Reproductive Endocrinologist,"Friday, Tuesday",5,Visakhapatnam
Dr. VikramWadhwa,Reproductive Endocrinologist,"Thursday, Friday",4.4,Indore
Dr. Atul Mohan Kochhar,Emergency Medicine Physician,"Tuesday, Thursday",4.8,Thane
Dr. Lekshmi P. Kumar,Psychotherapist,"Wednesday, Friday",4.5,Bhopal
Dr. P.N. Pandey,Psychotherapist,"Monday,Tuesday",3.8,Patna
Dr. Chandra Shekhar,Oncologist,"Tuesday, Wednesday",3.9,Vadodara
Dr. Amit Kr. Sharma,Emergency Medicine Physician,"Monday, Wednesday",4.5,Ghaziabad
Dr. Ankit SanjayKr. Shan,Geriatrician,"Tuesday, Thursday",3.1,Ludhiana
Dr. Viresh Kumar,Psychotherapist,"Monday, Thursday",4.4,Agra
Dr. Manju Chugh,Psychotherapist,"Tuesday, Thursday",4.8,Nashik
Dr. Shujauddin,Psychotherapist,"Friday, Tuesday",4.4,Ahmedabad
Dr. Vivek Sachan,Oncologist,"Thursday, Friday",4.5,Jaipur
Dr. Aisha Khan,Oncologist,"Wednesday, Friday",4.1,Chandigarh
Dr. Rajiv Patel,Oncologist,"Monday,Tuesday",4.7,Gurgaon
Dr. Priyanka Banerjee,Gynecologist,"Tuesday, Wednesday",4.2,Noida
Dr. Siddharth Gupta,Psychotherapist,"Wednesday, Thursday",4.9,Kochi
